review_id,product_id,rating,review_length,sentiment_score
rev0268,prod_d,2,104,-0.1286
rev0269,prod_b,4,134,-0.1393
rev0270,prod_c,4,185,0.376
rev0271,prod_c,2,173,0.4305
rev0272,prod_d,1,223,-0.3607
rev0273,prod_c,1,151,0.6486
rev0274,prod_a,2,67,-0.0885
rev0275,prod_d,5,141,0.9079
rev0276,prod_a,5,77,-0.1657
rev0277,prod_b,5,195,0.2273
rev0278,prod_d,4,159,0.11
rev0279,prod_b,4,119,-0.4931
rev0280,prod_b,3,177,0.2976
rev0281,prod_c,4,138,-0.4561
rev0282,prod_c,2,193,-0.3386
rev0283,prod_c,4,157,-0.4054
rev0284,prod_d,3,204,0.2908
rev0285,prod_c,3,158,0.0441
rev0286,prod_b,4,185,-0.197
rev0287,prod_c,4,174,0.0281
rev0288,prod_d,3,166,0.3452
rev0289,prod_a,2,131,0.0905
rev0290,prod_b,2,78,-0.1744
rev0291,prod_c,3,181,0.2337
rev0292,prod_d,3,166,0.3682
rev0293,prod_c,5,162,-0.03
rev0294,prod_d,3,181,-0.0724
rev0295,prod_d,2,212,0.2633
rev0296,prod_c,4,172,-0.041
rev0297,prod_a,5,160,0.8562
rev0298,prod_b,1,228,-0.0437
rev0299,prod_c,3,153,0.1806
rev0300,prod_c,5,198,0.0833
rev0301,prod_d,4,208,0.3923
rev0302,prod_a,4,166,-0.0029
rev0303,prod_b,5,165,0.4196
rev0304,prod_b,5,160,0.5216
rev0305,prod_a,4,69,0.4221
rev0306,prod_d,4,158,-0.5536
rev0307,prod_a,4,127,-0.1072
rev0308,prod_a,5,78,0.3585
rev0309,prod_a,4,198,-0.4651
rev0310,prod_c,2,89,1.0
rev0311,prod_c,4,172,-0.1833
rev0312,prod_d,4,183,0.8067
rev0313,prod_c,4,159,0.7027
rev0314,prod_b,5,119,-0.7124
rev0315,prod_a,4,191,-0.7765
rev0316,prod_d,4,188,0.5794
rev0317,prod_d,2,166,0.8301
rev0318,prod_d,4,238,-0.1066
rev0319,prod_d,5,140,0.5025
rev0320,prod_c,3,133,0.1137
rev0321,prod_c,3,189,-0.4498
rev0322,prod_b,5,183,-0.1866
rev0323,prod_c,3,156,0.1002
rev0324,prod_b,5,92,-0.0575
rev0325,prod_c,3,111,-0.4467
rev0326,prod_c,4,244,0.5354
rev0327,prod_d,4,163,0.3352
rev0328,prod_b,5,205,0.1399
rev0329,prod_d,4,150,0.2996
rev0330,prod_a,5,152,0.4336
rev0331,prod_a,4,132,-0.1096
rev0332,prod_d,5,220,-0.4031
rev0333,prod_a,4,189,-1.0
rev0334,prod_a,5,172,-0.3391
rev0335,prod_b,3,150,-0.2763
rev0336,prod_d,4,150,1.0
rev0337,prod_c,4,141,0.1108
rev0338,prod_c,3,161,-0.0206
rev0339,prod_a,1,68,1.0
rev0340,prod_c,5,135,0.568
rev0341,prod_b,4,193,0.1098
rev0342,prod_b,4,93,-0.1313
rev0343,prod_d,2,173,0.01
rev0344,prod_c,4,151,-0.3362
rev0345,prod_d,3,186,1.0
rev0346,prod_a,4,165,-0.0697
rev0347,prod_c,4,177,-0.3105
rev0348,prod_c,3,129,-0.2247
rev0349,prod_c,2,81,0.1201
rev0350,prod_d,4,170,0.4382
rev0351,prod_b,5,137,-0.3669
rev0352,prod_b,5,149,0.2967
rev0353,prod_b,3,185,0.3761
rev0354,prod_a,3,174,-0.0178
rev0355,prod_c,3,189,0.8699
rev0356,prod_c,4,181,-0.0956
rev0357,prod_c,5,147,0.7456
rev0358,prod_c,4,112,0.0411
rev0359,prod_b,4,169,-0.1245
rev0360,prod_d,1,116,0.3897
rev0361,prod_c,5,151,-0.4081
rev0362,prod_c,5,178,0.1515
rev0363,prod_d,4,168,1.0
rev0364,prod_b,4,133,-0.1798
rev0365,prod_c,5,177,-0.2877
rev0366,prod_a,3,168,0.5462
rev0367,prod_c,3,145,-0.2573
rev0368,prod_c,5,135,-0.0826
rev0369,prod_d,4,164,-0.2114
rev0370,prod_b,3,162,0.7578
rev0371,prod_c,3,185,0.7168
rev0372,prod_c,4,124,0.6257
rev0373,prod_b,1,234,0.5196
rev0374,prod_c,5,172,0.1296
rev0375,prod_d,4,159,0.4876
rev0376,prod_a,3,142,0.3886
rev0377,prod_c,5,168,0.726
rev0378,prod_a,5,237,-0.446
rev0379,prod_a,5,135,0.0611
rev0380,prod_c,3,155,0.4022
rev0381,prod_b,5,153,-0.242
rev0382,prod_b,5,178,0.8662
rev0383,prod_d,4,149,0.2307
rev0384,prod_c,3,191,0.2275
rev0385,prod_c,4,156,0.0924
rev0386,prod_b,4,120,0.0025
rev0387,prod_d,4,221,-0.4903
rev0388,prod_d,5,124,0.3005
rev0389,prod_a,3,174,0.1466
rev0390,prod_a,4,173,0.3139
rev0391,prod_b,4,168,0.7015
rev0392,prod_d,4,252,-0.0264
rev0393,prod_c,2,176,0.5622
rev0394,prod_b,5,185,1.0
rev0395,prod_a,5,171,-0.1015
rev0396,prod_d,1,180,0.4055
rev0397,prod_b,5,141,0.1726
rev0398,prod_b,2,200,0.2788
rev0399,prod_d,3,221,0.0392
