review_id,product_id,rating,review_length,sentiment_score,priority_score
rev0131,prod_c,3,192,0.5416,115.19999999999999
rev0132,prod_c,3,161,0.6457,96.6
rev0133,prod_a,4,167,0.8166,133.6
rev0134,prod_b,4,160,0.8196,128.0
rev0135,prod_a,4,163,0.7388,130.4
rev0136,prod_c,4,167,0.818,133.6
rev0137,prod_a,4,148,0.8374,118.4
rev0138,prod_d,3,205,0.5561,123.0
rev0139,prod_b,5,114,0.9765,114.0
rev0140,prod_d,4,133,0.7638,106.4
rev0141,prod_c,5,91,0.9665,91.0
rev0142,prod_b,2,106,0.4088,42.400000000000006
rev0143,prod_d,5,197,0.9557,197.0
rev0144,prod_d,2,139,0.411,55.6
rev0145,prod_b,5,169,1.0,169.0
rev0146,prod_a,4,149,0.7633,119.2
rev0147,prod_a,4,112,0.7208,89.60000000000001
rev0148,prod_a,5,238,0.9567,238.0
rev0149,prod_b,4,114,0.7081,91.2
rev0150,prod_d,5,168,0.9545,168.0
rev0151,prod_c,3,209,0.5149,125.39999999999999
rev0152,prod_a,4,150,0.809,120.0
rev0153,prod_c,5,137,1.0,137.0
rev0154,prod_d,2,127,0.3782,50.800000000000004
rev0155,prod_b,4,192,0.81,153.60000000000002
rev0156,prod_d,3,195,0.6261,117.0
rev0157,prod_a,4,140,0.798,112.0
rev0158,prod_b,4,168,0.7512,134.4
rev0159,prod_d,4,135,0.7117,108.0
rev0160,prod_a,4,172,0.8494,137.6
rev0161,prod_b,5,215,1.0,215.0
rev0162,prod_a,4,169,0.7032,135.20000000000002
rev0163,prod_d,4,174,0.8113,139.20000000000002
rev0164,prod_a,4,151,0.8477,120.80000000000001
rev0165,prod_d,5,224,0.9897,224.0
rev0166,prod_b,4,154,0.7737,123.2
rev0167,prod_c,4,186,0.7792,148.8
rev0168,prod_a,5,107,0.9369,107.0
rev0169,prod_c,4,115,0.718,92.0
rev0170,prod_d,4,76,0.7379,60.800000000000004
rev0171,prod_b,5,152,0.9764,152.0
rev0172,prod_d,4,122,0.7364,97.60000000000001
rev0173,prod_d,5,257,0.9837,257.0
rev0174,prod_c,3,192,0.5992,115.19999999999999
rev0175,prod_d,4,176,0.7299,140.8
rev0176,prod_c,3,142,0.5579,85.2
rev0177,prod_c,4,196,0.8006,156.8
rev0178,prod_d,4,107,0.8248,85.60000000000001
rev0179,prod_c,3,139,0.6128,83.39999999999999
rev0180,prod_b,4,219,0.8198,175.20000000000002
rev0181,prod_b,3,130,0.6042,78.0
rev0182,prod_d,4,120,0.7445,96.0
rev0183,prod_c,5,164,1.0,164.0
rev0184,prod_d,3,145,0.6402,87.0
rev0185,prod_c,5,117,0.9526,117.0
rev0186,prod_c,4,217,0.8198,173.60000000000002
rev0187,prod_b,4,185,0.703,148.0
rev0188,prod_d,5,221,0.971,221.0
rev0189,prod_d,3,86,0.5142,51.6
rev0190,prod_b,4,175,0.7842,140.0
rev0191,prod_a,4,176,0.7812,140.8
rev0192,prod_c,4,189,0.7675,151.20000000000002
rev0193,prod_c,4,182,0.7041,145.6
rev0194,prod_b,4,142,0.8112,113.60000000000001
rev0195,prod_d,4,127,0.7959,101.60000000000001
rev0196,prod_a,4,201,0.7964,160.8
rev0197,prod_b,3,58,0.5778,34.8
rev0198,prod_c,5,140,0.9186,140.0
rev0199,prod_a,4,123,0.8429,98.4
